Date,HDFCBANK.NS,HINDUNILVR.NS,INFY.NS,MARUTI.NS,RELIANCE.NS
2024-03-28,693.20703125,2176.531005859375,1380.5179443359375,12348.79296875,1468.1451416015625
2024-04-01,704.0271606445312,2197.244873046875,1378.121826171875,12318.65625,1467.0831298828125
2024-04-02,708.6472778320312,2198.01416015625,1366.5103759765625,12301.849609375,1469.2320556640625
2024-04-03,709.6766357421875,2177.34814453125,1364.4830322265625,12179.736328125,1454.0650634765625
2024-04-04,731.36474609375,2177.107666015625,1370.0582275390625,12316.3544921875,1445.4935302734375
2024-04-05,741.8737182617188,2179.030029296875,1363.0545654296875,12173.611328125,1442.7020263671875
2024-04-08,740.4613647460938,2180.95263671875,1360.843017578125,12608.2568359375,1468.268798828125
2024-04-09,741.3949584960938,2176.338623046875,1377.56884765625,12630.7001953125,1446.209716796875
2024-04-10,735.5540161132812,2173.21484375,1388.581298828125,12429.5478515625,1461.945068359375
2024-04-12,727.2233276367188,2145.72412109375,1368.26123046875,12021.6572265625,1449.6680908203125
2024-04-15,715.61328125,2108.957275390625,1352.963623046875,12174.8359375,1447.3707275390625
2024-04-16,722.5794067382812,2134.669921875,1303.476806640625,12253.0927734375,1448.2847900390625
2024-04-18,715.61328125,2128.90283203125,1307.900390625,12157.34375,1446.876708984375
2024-04-19,733.13623046875,2145.05126953125,1300.52783203125,12457.185546875,1452.6075439453125
2024-04-22,723.9917602539062,2154.567138671875,1320.341064453125,12530.2470703125,1462.2166748046875
2024-04-23,721.7894287109375,2174.992919921875,1329.2340087890625,12736.7890625,1441.936279296875
2024-04-24,723.7523803710938,2172.58984375,1318.498046875,12685.630859375,1432.895263671875
2024-04-25,723.2975463867188,2144.330322265625,1325.5936279296875,12664.51171875,1442.5784912109375
2024-04-26,722.8427734375,2136.447998046875,1318.037109375,12449.736328125,1435.2420654296875
2024-04-29,732.2744140625,2139.764404296875,1322.1842041015625,12436.505859375,1447.5684814453125
2024-04-30,727.7740478515625,2143.94580078125,1309.09814453125,12561.6083984375,1449.5198974609375
2024-05-02,733.591064453125,2139.956787109375,1303.476806640625,12549.7001953125,1449.0753173828125
2024-05-03,727.53466796875,2131.0654296875,1305.1817626953125,12242.75390625,1416.9130859375
2024-05-06,728.994873046875,2168.69677734375,1314.028564453125,12190.958984375,1402.610595703125
2024-05-07,721.09521484375,2287.118896484375,1327.897705078125,12117.2109375,1384.7755126953125
2024-05-08,709.84423828125,2250.25634765625,1315.3187255859375,12293.126953125,1401.647216796875
2024-05-09,693.0155029296875,2235.453125,1326.607421875,12255.00390625,1377.5130615234375
2024-05-10,697.8200073242188,2270.922607421875,1313.10693359375,12422.443359375,1390.65478515625
2024-05-13,706.2400512695312,2269.095947265625,1311.770751953125,12420.8251953125,1385.9859619140625
2024-05-14,709.0062866210938,2258.474609375,1312.9224853515625,12558.3740234375,1403.1539306640625
2024-05-15,698.1111450195312,2233.19482421875,1308.545166015625,12512.4091796875,1399.3992919921875
2024-05-16,708.6665649414062,2252.274658203125,1339.3248291015625,12248.1435546875,1408.3660888671875
2024-05-17,710.5349731445312,2230.359130859375,1330.9847412109375,12389.1220703125,1418.5927734375
2024-05-21,707.962890625,2221.083251953125,1321.63134765625,12224.279296875,1419.0126953125
2024-05-22,708.156982421875,2275.103759765625,1340.6611328125,12281.169921875,1443.24560546875
2024-05-23,724.3661499023438,2290.0986328125,1356.880126953125,12676.6650390625,1468.343017578125
2024-05-24,736.3046875,2277.170166015625,1350.1529541015625,12740.9052734375,1462.6119384765625
2024-05-27,741.400390625,2292.02099609375,1355.91259765625,12648.4384765625,1448.77880859375
2024-05-28,742.75927734375,2303.027099609375,1351.9500732421875,12562.685546875,1438.8485107421875
2024-05-29,731.9855346679688,2281.351806640625,1337.1131591796875,12533.333984375,1423.607421875
2024-05-30,735.1642456054688,2260.20458984375,1315.4569091796875,12346.490234375,1407.8720703125
2024-05-31,743.2688598632812,2238.721923828125,1322.459716796875,12151.7568359375,1413.3560791015625
2024-06-03,762.9964599609375,2264.5302734375,1321.519775390625,12227.0732421875,1492.32861328125
2024-06-04,719.7800903320312,2399.4853515625,1310.0050048828125,11932.9638671875,1380.625732421875
2024-06-05,753.0963134765625,2501.806640625,1344.2672119140625,12252.994140625,1403.821044921875
2024-06-06,756.93017578125,2450.718017578125,1383.8875732421875,12420.4833984375,1414.541748046875
2024-06-07,763.5545654296875,2477.824462890625,1441.5552978515625,12555.1396484375,1452.4346923828125
2024-06-10,757.7067260742188,2465.85693359375,1409.737060546875,12463.6533203125,1453.867431640625
2024-06-11,759.4052734375,2457.206298828125,1405.97705078125,12606.8369140625,1439.3179931640625
2024-06-12,763.94287109375,2430.62841796875,1396.060302734375,12592.822265625,1445.888671875
2024-06-13,767.1458129882812,2390.93017578125,1404.28515625,12590.37109375,1447.7906494140625
2024-06-14,774.9835815429688,2406.79931640625,1399.5382080078125,12588.7548828125,1459.944091796875
2024-06-18,780.2733764648438,2413.10791015625,1408.2799072265625,12310.1796875,1463.3778076171875
2024-06-19,804.5628051757812,2384.71875,1420.6407470703125,11997.6953125,1441.2694091796875
2024-06-20,810.143798828125,2409.17724609375,1424.4476318359375,11906.9443359375,1456.139892578125
2024-06-21,808.396728515625,2369.48046875,1440.70947265625,11957.90625,1436.8724365234375
2024-06-24,811.6240234375,2370.35400390625,1435.492431640625,11940.1669921875,1424.2989501953125
2024-06-25,830.5266723632812,2360.648193359375,1449.4041748046875,11874.7001953125,1436.8228759765625
2024-06-26,825.7463989257812,2373.654052734375,1448.2291259765625,11954.720703125,1495.9844970703125
2024-06-27,823.1500244140625,2389.716796875,1478.9195556640625,11935.609375,1512.3126220703125
2024-06-28,817.156494140625,2400.29638671875,1472.7156982421875,11793.6025390625,1546.7474365234375
2024-07-01,827.5420532226562,2431.40380859375,1495.3223876953125,11866.91015625,1541.5599365234375
2024-07-02,839.8687744140625,2412.040283203125,1523.7568359375,11802.177734375,1546.525146484375
2024-07-03,858.3346557617188,2436.499267578125,1529.7257080078125,11881.611328125,1533.927001953125
2024-07-04,838.1945190429688,2422.522705078125,1551.580322265625,11848.2392578125,1535.5079345703125
2024-07-05,799.8310546875,2472.07080078125,1548.572265625,11862.400390625,1569.695556640625
2024-07-08,793.6434936523438,2511.03955078125,1561.9200439453125,11783.5576171875,1581.824462890625
2024-07-09,794.2015380859375,2513.951171875,1557.6900634765625,12571.6044921875,1571.3260498046875
2024-07-10,789.1544799804688,2533.654296875,1549.32421875,12517.7998046875,1565.3480224609375
2024-07-11,787.1161499023438,2532.101318359375,1553.507080078125,12461.349609375,1561.815673828125
2024-07-12,787.50439453125,2545.10693359375,1609.012939453125,12311.69921875,1577.6990966796875
2024-07-15,787.2131958007812,2543.214599609375,1604.59521484375,12391.5234375,1578.193115234375
2024-07-16,786.07275390625,2609.359619140625,1622.4549560546875,12387.2099609375,1557.4681396484375
2024-07-18,783.6705322265625,2657.840087890625,1652.5341796875,12391.62109375,1567.76904296875
2024-07-19,780.0307006835938,2646.775634765625,1685.3394775390625,12274.26171875,1536.61962890625
2024-07-22,797.1376953125,2654.831298828125,1702.1650390625,12388.8759765625,1482.7935791015625
2024-07-23,785.4176025390625,2684.96826171875,1726.6517333984375,12376.919921875,1470.1708984375
2024-07-24,778.4534912109375,2637.1181640625,1723.8787841796875,12237.951171875,1477.8779296875
2024-07-25,784.5440673828125,2627.55810546875,1715.324951171875,12259.462890625,1474.6171875
2024-07-26,785.2962646484375,2631.294921875,1766.1309814453125,12410.8779296875,1491.044189453125
2024-07-29,778.9387817382812,2631.82861328125,1758.799072265625,12496.974609375,1501.987060546875
2024-07-30,784.0344848632812,2612.22265625,1764.4859619140625,12616.63671875,1495.1199951171875
2024-07-31,784.1315307617188,2626.0537109375,1756.1201171875,12853.9521484375,1487.487060546875
2024-08-01,795.3178100585938,2635.66259765625,1741.409423828125,13092.345703125,1497.244384765625
2024-08-02,805.1937255859375,2613.339111328125,1711.89404296875,12590.1328125,1481.4595947265625
2024-08-05,784.1315307617188,2636.001953125,1646.75341796875,12070.208984375,1430.079345703125
2024-08-06,777.0703125,2669.1474609375,1646.0013427734375,12001.2060546875,1438.700439453125
2024-08-07,787.8926391601562,2663.323974609375,1684.11767578125,12239.0322265625,1447.3707275390625
2024-08-08,797.21044921875,2652.793212890625,1638.5284423828125,12088.0166015625,1431.8577880859375
2024-08-09,800.8502197265625,2666.38134765625,1664.471923828125,12093.3095703125,1456.7330322265625
2024-08-12,805.65478515625,2667.837158203125,1689.5225830078125,12141.833984375,1443.220703125
2024-08-13,778.0409545898438,2660.751953125,1689.5693359375,12045.873046875,1446.18505859375
2024-08-14,780.2733764648438,2641.97119140625,1713.821044921875,12074.9580078125,1444.4312744140625
